name	type	source	detector	wavelength_nominal	units	sci_median	psp_median	sci_good_quality_percent	psp_good_quality_percent
S1-D1-690.0	NIRSCWAMPLITUDE	S1	D1	690.0	AU	0.346	0.301	0.115	0.897
S1-D17-690.0	NIRSCWAMPLITUDE	S1	D17	690.0	AU	0.503	0.472	0.269	0.987
S2-D1-690.0	NIRSCWAMPLITUDE	S2	D1	690.0	AU	0.448	0.299	0.231	0.962
S2-D2-690.0	NIRSCWAMPLITUDE	S2	D2	690.0	AU	0.491	0.428	0.346	0.974
S2-D18-690.0	NIRSCWAMPLITUDE	S2	D18	690.0	AU	0.491	0.428	0.346	0.974
S3-D1-690.0	NIRSCWAMPLITUDE	S3	D1	690.0	AU	0.295	0.228	0.128	0.872
S3-D3-690.0	NIRSCWAMPLITUDE	S3	D3	690.0	AU	0.279	0.205	0.128	0.833
S3-D19-690.0	NIRSCWAMPLITUDE	S3	D19	690.0	AU	0.279	0.205	0.128	0.833
S4-D1-690.0	NIRSCWAMPLITUDE	S4	D1	690.0	AU	0.493	0.443	0.346	0.987
S4-D2-690.0	NIRSCWAMPLITUDE	S4	D2	690.0	AU	0.462	0.329	0.256	0.962
S4-D3-690.0	NIRSCWAMPLITUDE	S4	D3	690.0	AU	0.687	0.815	0.667	1.0
S4-D4-690.0	NIRSCWAMPLITUDE	S4	D4	690.0	AU	0.93	1.214	0.949	1.0
S4-D20-690.0	NIRSCWAMPLITUDE	S4	D20	690.0	AU	0.93	1.214	0.949	1.0
S5-D3-690.0	NIRSCWAMPLITUDE	S5	D3	690.0	AU	0.321	0.25	0.282	0.949
S5-D5-690.0	NIRSCWAMPLITUDE	S5	D5	690.0	AU	0.501	0.34	0.372	0.949
S5-D21-690.0	NIRSCWAMPLITUDE	S5	D21	690.0	AU	0.501	0.34	0.372	0.949
S6-D3-690.0	NIRSCWAMPLITUDE	S6	D3	690.0	AU	0.629	0.566	0.551	0.987
S6-D4-690.0	NIRSCWAMPLITUDE	S6	D4	690.0	AU	0.448	0.408	0.295	0.936
S6-D5-690.0	NIRSCWAMPLITUDE	S6	D5	690.0	AU	0.537	0.394	0.372	0.962
S6-D6-690.0	NIRSCWAMPLITUDE	S6	D6	690.0	AU	0.636	0.622	0.551	1.0
S6-D22-690.0	NIRSCWAMPLITUDE	S6	D22	690.0	AU	0.636	0.622	0.551	1.0
S7-D7-690.0	NIRSCWAMPLITUDE	S7	D7	690.0	AU	0.226	0.192	0.077	0.846
S7-D9-690.0	NIRSCWAMPLITUDE	S7	D9	690.0	AU	0.152	0.235	0.064	0.859
S7-D23-690.0	NIRSCWAMPLITUDE	S7	D23	690.0	AU	0.152	0.235	0.064	0.859
S8-D7-690.0	NIRSCWAMPLITUDE	S8	D7	690.0	AU	0.645	0.556	0.628	0.987
S8-D8-690.0	NIRSCWAMPLITUDE	S8	D8	690.0	AU	0.489	0.336	0.346	0.923
S8-D9-690.0	NIRSCWAMPLITUDE	S8	D9	690.0	AU	0.472	0.24	0.269	0.936
S8-D10-690.0	NIRSCWAMPLITUDE	S8	D10	690.0	AU	0.472	0.24	0.269	0.936
S8-D24-690.0	NIRSCWAMPLITUDE	S8	D24	690.0	AU	0.213	0.254	0.051	0.859
S9-D9-690.0	NIRSCWAMPLITUDE	S9	D9	690.0	AU	0.241	0.243	0.128	0.91
S9-D11-690.0	NIRSCWAMPLITUDE	S9	D11	690.0	AU	0.241	0.243	0.128	0.91
S9-D25-690.0	NIRSCWAMPLITUDE	S9	D25	690.0	AU	0.456	0.476	0.167	0.962
S10-D9-690.0	NIRSCWAMPLITUDE	S10	D9	690.0	AU	0.456	0.476	0.167	0.962
S10-D10-690.0	NIRSCWAMPLITUDE	S10	D10	690.0	AU	0.502	0.511	0.308	0.936
S10-D11-690.0	NIRSCWAMPLITUDE	S10	D11	690.0	AU	0.811	1.007	0.846	1.0
S10-D12-690.0	NIRSCWAMPLITUDE	S10	D12	690.0	AU	0.915	1.184	1.0	1.0
S10-D26-690.0	NIRSCWAMPLITUDE	S10	D26	690.0	AU	0.836	1.048	0.872	0.987
S11-D11-690.0	NIRSCWAMPLITUDE	S11	D11	690.0	AU	0.847	1.026	0.821	0.974
S11-D27-690.0	NIRSCWAMPLITUDE	S11	D27	690.0	AU	0.511	0.528	0.282	0.936
S12-D11-690.0	NIRSCWAMPLITUDE	S12	D11	690.0	AU	0.511	0.455	0.333	0.962
S12-D12-690.0	NIRSCWAMPLITUDE	S12	D12	690.0	AU	0.831	1.023	0.974	0.987
S12-D28-690.0	NIRSCWAMPLITUDE	S12	D28	690.0	AU	0.842	1.263	0.821	0.974
S13-D13-690.0	NIRSCWAMPLITUDE	S13	D13	690.0	AU	0.987	1.442	1.0	1.0
S13-D14-690.0	NIRSCWAMPLITUDE	S13	D14	690.0	AU	0.995	1.443	1.0	1.0
S13-D29-690.0	NIRSCWAMPLITUDE	S13	D29	690.0	AU	0.937	1.354	1.0	1.0
S14-D14-690.0	NIRSCWAMPLITUDE	S14	D14	690.0	AU	0.94	1.342	1.0	1.0
S14-D15-690.0	NIRSCWAMPLITUDE	S14	D15	690.0	AU	0.907	1.375	0.987	1.0
S14-D30-690.0	NIRSCWAMPLITUDE	S14	D30	690.0	AU	0.883	1.368	1.0	1.0
S15-D15-690.0	NIRSCWAMPLITUDE	S15	D15	690.0	AU	0.932	1.408	1.0	1.0
S15-D16-690.0	NIRSCWAMPLITUDE	S15	D16	690.0	AU	0.975	1.36	0.962	1.0
S15-D31-690.0	NIRSCWAMPLITUDE	S15	D31	690.0	AU	0.873	1.32	0.974	1.0
S1-D1-830.0	NIRSCWAMPLITUDE	S1	D1	830.0	AU	0.873	1.32	0.974	1.0
S1-D17-830.0	NIRSCWAMPLITUDE	S1	D17	830.0	AU	0.0	0.0	0.0	0.0
S2-D1-830.0	NIRSCWAMPLITUDE	S2	D1	830.0	AU	0.0	0.0	0.0	0.0
S2-D2-830.0	NIRSCWAMPLITUDE	S2	D2	830.0	AU	0.0	0.0	0.0	0.0
S2-D18-830.0	NIRSCWAMPLITUDE	S2	D18	830.0	AU	0.0	0.0	0.0	0.0
S3-D1-830.0	NIRSCWAMPLITUDE	S3	D1	830.0	AU	0.0	0.0	0.0	0.0
S3-D3-830.0	NIRSCWAMPLITUDE	S3	D3	830.0	AU	0.0	0.0	0.0	0.0
S3-D19-830.0	NIRSCWAMPLITUDE	S3	D19	830.0	AU	0.0	0.0	0.0	0.0
S4-D1-830.0	NIRSCWAMPLITUDE	S4	D1	830.0	AU	0.0	0.0	0.0	0.0
S4-D2-830.0	NIRSCWAMPLITUDE	S4	D2	830.0	AU	0.0	0.0	0.0	0.0
S4-D3-830.0	NIRSCWAMPLITUDE	S4	D3	830.0	AU	0.0	0.0	0.0	0.0
S4-D4-830.0	NIRSCWAMPLITUDE	S4	D4	830.0	AU	0.0	0.0	0.0	0.0
S4-D20-830.0	NIRSCWAMPLITUDE	S4	D20	830.0	AU	0.0	0.0	0.0	0.0
S5-D3-830.0	NIRSCWAMPLITUDE	S5	D3	830.0	AU	0.0	0.0	0.0	0.0
S5-D5-830.0	NIRSCWAMPLITUDE	S5	D5	830.0	AU	0.0	0.0	0.0	0.0
S5-D21-830.0	NIRSCWAMPLITUDE	S5	D21	830.0	AU	0.0	0.0	0.0	0.0
S6-D3-830.0	NIRSCWAMPLITUDE	S6	D3	830.0	AU	0.0	0.0	0.0	0.0
S6-D4-830.0	NIRSCWAMPLITUDE	S6	D4	830.0	AU	0.0	0.0	0.0	0.0
S6-D5-830.0	NIRSCWAMPLITUDE	S6	D5	830.0	AU	0.0	0.0	0.0	0.0
S6-D6-830.0	NIRSCWAMPLITUDE	S6	D6	830.0	AU	0.0	0.0	0.0	0.0
S6-D22-830.0	NIRSCWAMPLITUDE	S6	D22	830.0	AU	0.0	0.0	0.0	0.0
S7-D7-830.0	NIRSCWAMPLITUDE	S7	D7	830.0	AU	0.0	0.0	0.0	0.0
S7-D9-830.0	NIRSCWAMPLITUDE	S7	D9	830.0	AU	0.0	0.0	0.0	0.0
S7-D23-830.0	NIRSCWAMPLITUDE	S7	D23	830.0	AU	0.0	0.0	0.0	0.0
S8-D7-830.0	NIRSCWAMPLITUDE	S8	D7	830.0	AU	0.0	0.0	0.0	0.0
S8-D8-830.0	NIRSCWAMPLITUDE	S8	D8	830.0	AU	0.0	0.0	0.0	0.0
S8-D9-830.0	NIRSCWAMPLITUDE	S8	D9	830.0	AU	0.0	0.0	0.0	0.0
S8-D10-830.0	NIRSCWAMPLITUDE	S8	D10	830.0	AU	0.0	0.0	0.0	0.0
S8-D24-830.0	NIRSCWAMPLITUDE	S8	D24	830.0	AU	0.0	0.0	0.0	0.0
S9-D9-830.0	NIRSCWAMPLITUDE	S9	D9	830.0	AU	0.0	0.0	0.0	0.0
S9-D11-830.0	NIRSCWAMPLITUDE	S9	D11	830.0	AU	0.0	0.0	0.0	0.0
S9-D25-830.0	NIRSCWAMPLITUDE	S9	D25	830.0	AU	0.0	0.0	0.0	0.0
S10-D9-830.0	NIRSCWAMPLITUDE	S10	D9	830.0	AU	0.0	0.0	0.0	0.0
S10-D10-830.0	NIRSCWAMPLITUDE	S10	D10	830.0	AU	0.0	0.0	0.0	0.0
S10-D11-830.0	NIRSCWAMPLITUDE	S10	D11	830.0	AU	0.0	0.0	0.0	0.0
S10-D12-830.0	NIRSCWAMPLITUDE	S10	D12	830.0	AU	0.0	0.0	0.0	0.0
S10-D26-830.0	NIRSCWAMPLITUDE	S10	D26	830.0	AU	0.0	0.0	0.0	0.0
S11-D11-830.0	NIRSCWAMPLITUDE	S11	D11	830.0	AU	0.0	0.0	0.0	0.0
S11-D27-830.0	NIRSCWAMPLITUDE	S11	D27	830.0	AU	0.0	0.0	0.0	0.0
S12-D11-830.0	NIRSCWAMPLITUDE	S12	D11	830.0	AU	0.0	0.0	0.0	0.0
S12-D12-830.0	NIRSCWAMPLITUDE	S12	D12	830.0	AU	0.0	0.0	0.0	0.0
S12-D28-830.0	NIRSCWAMPLITUDE	S12	D28	830.0	AU	0.0	0.0	0.0	0.0
S13-D13-830.0	NIRSCWAMPLITUDE	S13	D13	830.0	AU	0.0	0.0	0.0	0.0
S13-D14-830.0	NIRSCWAMPLITUDE	S13	D14	830.0	AU	0.0	0.0	0.0	0.0
S13-D29-830.0	NIRSCWAMPLITUDE	S13	D29	830.0	AU	0.0	0.0	0.0	0.0
S14-D14-830.0	NIRSCWAMPLITUDE	S14	D14	830.0	AU	0.0	0.0	0.0	0.0
S14-D15-830.0	NIRSCWAMPLITUDE	S14	D15	830.0	AU	0.0	0.0	0.0	0.0
S14-D30-830.0	NIRSCWAMPLITUDE	S14	D30	830.0	AU	0.0	0.0	0.0	0.0
S15-D15-830.0	NIRSCWAMPLITUDE	S15	D15	830.0	AU	0.0	0.0	0.0	0.0
S15-D16-830.0	NIRSCWAMPLITUDE	S15	D16	830.0	AU	0.0	0.0	0.0	0.0
S15-D31-830.0	NIRSCWAMPLITUDE	S15	D31	830.0	AU	0.0	0.0	0.0	0.0
