onset	duration	trial_type	value
119.98	5.0	ElectricalVAS7	1.0
149.98	5.0	ElectricalVAS7	1.0
179.98	5.0	ElectricalVAS3	1.0
209.98	5.0	ElectricalVAS3	1.0
239.98	5.0	ElectricalVAS7	1.0
269.98	5.0	ElectricalVAS3	1.0
29.98	5.0	ElectricalVAS3	1.0
299.98	5.0	ElectricalVAS3	1.0
329.98	5.0	ElectricalVAS7	1.0
359.98	5.0	ElectricalVAS7	1.0
389.98	5.0	ElectricalVAS7	1.0
419.98	5.0	ElectricalVAS3	1.0
449.98	5.0	ElectricalVAS3	1.0
479.98	5.0	ElectricalVAS3	1.0
509.98	5.0	ElectricalVAS7	1.0
539.98	5.0	ElectricalVAS3	1.0
569.98	5.0	ElectricalVAS7	1.0
59.98	5.0	ElectricalVAS3	1.0
599.98	5.0	ElectricalVAS7	1.0
629.98	5.0	ElectricalVAS3	1.0
659.98	5.0	ElectricalVAS3	1.0
689.98	5.0	ElectricalVAS7	1.0
719.98	5.0	ElectricalVAS7	1.0
89.98	5.0	ElectricalVAS7	1.0
